year_month,launches,period_start
2005-01,627,2005-01-01
2005-02,630,2005-02-01
2005-03,543,2005-03-01
2005-04,608,2005-04-01
2005-05,792,2005-05-01
2005-06,1386,2005-06-01
2005-07,607,2005-07-01
2005-08,664,2005-08-01
2005-09,663,2005-09-01
2005-10,721,2005-10-01
2005-11,575,2005-11-01
2005-12,617,2005-12-01
2006-01,741,2006-01-01
2006-02,551,2006-02-01
2006-03,622,2006-03-01
2006-04,604,2006-04-01
2006-05,806,2006-05-01
2006-06,703,2006-06-01
2006-07,800,2006-07-01
2006-08,667,2006-08-01
2006-09,647,2006-09-01
2006-10,614,2006-10-01
2006-11,559,2006-11-01
2006-12,443,2006-12-01
2007-01,585,2007-01-01
2007-02,558,2007-02-01
2007-03,758,2007-03-01
2007-04,753,2007-04-01
2007-05,801,2007-05-01
2007-06,794,2007-06-01
2007-07,770,2007-07-01
2007-08,783,2007-08-01
2007-09,612,2007-09-01
2007-10,490,2007-10-01
2007-11,554,2007-11-01
2007-12,442,2007-12-01
2008-01,651,2008-01-01
2008-02,570,2008-02-01
2008-03,661,2008-03-01
2008-04,791,2008-04-01
2008-05,821,2008-05-01
2008-06,808,2008-06-01
2008-07,700,2008-07-01
2008-08,775,2008-08-01
2008-09,618,2008-09-01
2008-10,585,2008-10-01
2008-11,529,2008-11-01
2008-12,496,2008-12-01
2009-01,558,2009-01-01
2009-02,641,2009-02-01
2009-03,984,2009-03-01
2009-04,902,2009-04-01
2009-05,868,2009-05-01
2009-06,782,2009-06-01
2009-07,779,2009-07-01
2009-08,882,2009-08-01
2009-09,829,2009-09-01
2009-10,723,2009-10-01
2009-11,610,2009-11-01
2009-12,611,2009-12-01
2010-01,922,2010-01-01
2010-02,651,2010-02-01
2010-03,852,2010-03-01
2010-04,895,2010-04-01
2010-05,964,2010-05-01
2010-06,1025,2010-06-01
2010-07,1150,2010-07-01
2010-08,1272,2010-08-01
2010-09,1096,2010-09-01
2010-10,791,2010-10-01
2010-11,792,2010-11-01
2010-12,741,2010-12-01
2011-01,794,2011-01-01
2011-02,868,2011-02-01
2011-03,1279,2011-03-01
2011-04,1046,2011-04-01
2011-05,1381,2011-05-01
2011-06,1444,2011-06-01
2011-07,1378,2011-07-01
2011-08,1119,2011-08-01
2011-09,1201,2011-09-01
2011-10,1073,2011-10-01
2011-11,977,2011-11-01
2011-12,932,2011-12-01
2012-01,940,2012-01-01
2012-02,1060,2012-02-01
2012-03,1285,2012-03-01
2012-04,1296,2012-04-01
2012-05,1546,2012-05-01
2012-06,1474,2012-06-01
2012-07,1290,2012-07-01
2012-08,1110,2012-08-01
2012-09,1097,2012-09-01
2012-10,1108,2012-10-01
2012-11,901,2012-11-01
2012-12,1028,2012-12-01
2013-01,1227,2013-01-01
2013-02,1169,2013-02-01
2013-03,1540,2013-03-01
2013-04,1823,2013-04-01
2013-05,1852,2013-05-01
2013-06,1698,2013-06-01
2013-07,1456,2013-07-01
2013-08,1333,2013-08-01
2013-09,1485,2013-09-01
2013-10,1678,2013-10-01
2013-11,1401,2013-11-01
2013-12,1151,2013-12-01
2014-01,1366,2014-01-01
2014-02,1596,2014-02-01
2014-03,1582,2014-03-01
2014-04,1389,2014-04-01
2014-05,1468,2014-05-01
2014-06,1612,2014-06-01
2014-07,1350,2014-07-01
2014-08,1356,2014-08-01
2014-09,1635,2014-09-01
2014-10,1515,2014-10-01
2014-11,1259,2014-11-01
2014-12,706,2014-12-01
